"Plate","Replicate","Sample","OD550","Treatment","BiofilmMut","BlankAvg","OD550_Corrected","mutation","clones"
"plate1","A","M4",0.567,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.5025,"ywcC/slrR","m4"
"plate1","B","M4",1.503,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.4385,"ywcC/slrR","m4"
"plate1","C","M4",0.935,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.8705,"ywcC/slrR","m4"
"plate1","D","M4",1.643,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.5785,"ywcC/slrR","m4"
"plate1","E","M4",0.561,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.4965,"ywcC/slrR","m4"
"plate1","F","M4",0.89,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.8255,"ywcC/slrR","m4"
"plate1","G","M4",0.381,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.3165,"ywcC/slrR","m4"
"plate1","H","M4",1.039,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.9745,"ywcC/slrR","m4"
"plate1","A","M13",0.153,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.0885,"ywcC/slrR","m13"
"plate1","B","M13",0.186,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1215,"ywcC/slrR","m13"
"plate1","C","M13",0.213,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1485,"ywcC/slrR","m13"
"plate1","D","M13",0.241,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1765,"ywcC/slrR","m13"
"plate1","E","M13",0.201,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1365,"ywcC/slrR","m13"
"plate1","F","M13",0.194,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1295,"ywcC/slrR","m13"
"plate1","G","M13",0.153,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.0885,"ywcC/slrR","m13"
"plate1","H","M13",0.18,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1155,"ywcC/slrR","m13"
"plate1","A","M17",0.077,"Vegetative","Vegetative:sinR",0.0645,0.0125,"sinR","m17"
"plate1","B","M17",0.1,"Vegetative","Vegetative:sinR",0.0645,0.0355,"sinR","m17"
"plate1","C","M17",0.106,"Vegetative","Vegetative:sinR",0.0645,0.0415,"sinR","m17"
"plate1","D","M17",0.097,"Vegetative","Vegetative:sinR",0.0645,0.0325,"sinR","m17"
"plate1","E","M17",0.094,"Vegetative","Vegetative:sinR",0.0645,0.0295,"sinR","m17"
"plate1","F","M17",0.087,"Vegetative","Vegetative:sinR",0.0645,0.0225,"sinR","m17"
"plate1","G","M17",0.083,"Vegetative","Vegetative:sinR",0.0645,0.0185,"sinR","m17"
"plate1","H","M17",0.066,"Vegetative","Vegetative:sinR",0.0645,0.0015,"sinR","m17"
"plate1","A","M19",0.094,"Vegetative","Vegetative:sinR",0.0645,0.0295,"sinR","m19"
"plate1","B","M19",0.08,"Vegetative","Vegetative:sinR",0.0645,0.0155,"sinR","m19"
"plate1","C","M19",0.199,"Vegetative","Vegetative:sinR",0.0645,0.1345,"sinR","m19"
"plate1","D","M19",0.079,"Vegetative","Vegetative:sinR",0.0645,0.0145,"sinR","m19"
"plate1","E","M19",0.075,"Vegetative","Vegetative:sinR",0.0645,0.0105,"sinR","m19"
"plate1","F","M19",0.142,"Vegetative","Vegetative:sinR",0.0645,0.0775,"sinR","m19"
