Time,D3,D4,D5,D6,D7,D8,D9,D10,E3,E4,E5,E6,E7,E8,E9,E10,F3,F4,F5,F6,F7,F8,F9,F10
0:00:05,0.14,0.138,0.136,0.136,0.137,0.137,0.135,0.138,0.136,0.137,0.137,0.134,0.135,0.136,0.138,0.136,0.136,0.137,0.136,0.137,0.136,0.136,0.137,0.137
0:15:05,0.141,0.138,0.138,0.137,0.136,0.136,0.136,0.139,0.137,0.138,0.138,0.136,0.135,0.144,0.143,0.138,0.137,0.139,0.138,0.14,0.136,0.141,0.139,0.14
0:30:05,0.141,0.138,0.137,0.137,0.137,0.138,0.137,0.141,0.137,0.138,0.139,0.138,0.137,0.148,0.143,0.138,0.137,0.138,0.138,0.14,0.139,0.139,0.138,0.142
0:45:05,0.141,0.139,0.138,0.138,0.137,0.137,0.137,0.14,0.137,0.138,0.139,0.143,0.137,0.158,0.143,0.137,0.137,0.139,0.138,0.138,0.137,0.146,0.139,0.147
1:00:05,0.142,0.139,0.138,0.137,0.137,0.138,0.138,0.14,0.138,0.138,0.139,0.138,0.137,0.162,0.143,0.138,0.137,0.141,0.139,0.14,0.137,0.138,0.139,0.139
1:15:05,0.142,0.139,0.138,0.137,0.136,0.138,0.138,0.141,0.138,0.138,0.139,0.137,0.137,0.158,0.147,0.138,0.138,0.142,0.139,0.139,0.138,0.145,0.14,0.14
1:30:05,0.144,0.139,0.138,0.138,0.137,0.138,0.138,0.142,0.139,0.138,0.14,0.139,0.137,0.145,0.146,0.139,0.139,0.141,0.14,0.141,0.138,0.146,0.14,0.154
1:45:05,0.145,0.14,0.138,0.139,0.137,0.138,0.139,0.141,0.139,0.139,0.142,0.148,0.138,0.147,0.146,0.138,0.139,0.142,0.14,0.141,0.139,0.15,0.141,0.141
2:00:05,0.146,0.142,0.139,0.14,0.138,0.139,0.14,0.142,0.14,0.139,0.143,0.14,0.139,0.149,0.153,0.139,0.14,0.142,0.141,0.146,0.14,0.154,0.142,0.141
2:15:05,0.148,0.143,0.141,0.142,0.14,0.14,0.142,0.144,0.141,0.142,0.145,0.146,0.141,0.153,0.15,0.141,0.141,0.143,0.144,0.142,0.147,0.142,0.145,0.142
2:30:05,0.151,0.145,0.142,0.142,0.141,0.143,0.143,0.146,0.143,0.142,0.151,0.155,0.143,0.151,0.168,0.142,0.142,0.145,0.144,0.149,0.145,0.147,0.145,0.146
2:45:05,0.155,0.149,0.144,0.145,0.143,0.146,0.145,0.149,0.146,0.146,0.152,0.146,0.148,0.161,0.179,0.144,0.145,0.148,0.147,0.147,0.145,0.146,0.147,0.147
3:00:05,0.16,0.152,0.147,0.15,0.147,0.148,0.148,0.154,0.149,0.147,0.15,0.149,0.152,0.165,0.166,0.147,0.149,0.152,0.15,0.151,0.15,0.15,0.149,0.15
3:15:05,0.166,0.155,0.15,0.154,0.151,0.152,0.152,0.159,0.152,0.151,0.16,0.156,0.156,0.17,0.173,0.151,0.153,0.156,0.154,0.154,0.154,0.154,0.153,0.155
3:30:05,0.174,0.159,0.155,0.16,0.155,0.155,0.155,0.164,0.156,0.155,0.166,0.167,0.161,0.173,0.184,0.155,0.157,0.161,0.157,0.158,0.158,0.158,0.157,0.162
3:45:05,0.182,0.165,0.159,0.166,0.161,0.16,0.162,0.172,0.162,0.163,0.167,0.168,0.166,0.18,0.187,0.161,0.163,0.167,0.162,0.165,0.172,0.163,0.17,0.166
4:00:05,0.192,0.172,0.167,0.175,0.168,0.167,0.168,0.184,0.17,0.172,0.182,0.179,0.171,0.196,0.201,0.169,0.173,0.176,0.169,0.172,0.175,0.176,0.173,0.176
4:15:05,0.218,0.188,0.178,0.194,0.179,0.18,0.18,0.193,0.185,0.181,0.196,0.197,0.184,0.225,0.198,0.179,0.184,0.188,0.183,0.184,0.184,0.191,0.184,0.189
4:30:05,0.223,0.2,0.193,0.219,0.19,0.185,0.203,0.22,0.218,0.193,0.22,0.185,0.199,0.2,0.216,0.191,0.213,0.203,0.206,0.208,0.197,0.198,0.192,0.196
4:45:05,0.205,0.188,0.197,0.197,0.2,0.183,0.207,0.222,0.221,0.192,0.204,0.216,0.192,0.222,0.223,0.214,0.229,0.203,0.197,0.201,0.195,0.189,0.228,0.217
5:00:05,0.219,0.207,0.199,0.214,0.215,0.198,0.212,0.207,0.201,0.215,0.224,0.223,0.219,0.233,0.231,0.205,0.217,0.199,0.204,0.205,0.208,0.213,0.198,0.196
5:15:05,0.238,0.223,0.229,0.232,0.223,0.215,0.227,0.22,0.209,0.231,0.245,0.237,0.227,0.237,0.251,0.204,0.239,0.225,0.226,0.225,0.211,0.227,0.224,0.21
5:30:05,0.24,0.236,0.237,0.236,0.234,0.225,0.246,0.227,0.237,0.234,0.256,0.246,0.234,0.262,0.266,0.223,0.252,0.232,0.232,0.232,0.244,0.237,0.233,0.226
5:45:05,0.252,0.239,0.241,0.243,0.247,0.234,0.258,0.239,0.232,0.241,0.256,0.263,0.242,0.27,0.258,0.225,0.264,0.24,0.239,0.24,0.263,0.24,0.273,0.233
6:00:05,0.258,0.251,0.253,0.253,0.255,0.241,0.272,0.246,0.243,0.252,0.27,0.271,0.256,0.272,0.27,0.235,0.277,0.252,0.246,0.25,0.266,0.254,0.256,0.242
6:15:05,0.264,0.261,0.263,0.26,0.261,0.248,0.276,0.25,0.251,0.258,0.284,0.277,0.259,0.282,0.28,0.242,0.28,0.256,0.254,0.258,0.273,0.259,0.256,0.266
6:30:05,0.269,0.269,0.27,0.275,0.262,0.255,0.279,0.257,0.256,0.263,0.278,0.28,0.267,0.277,0.272,0.252,0.286,0.26,0.26,0.264,0.27,0.26,0.264,0.248
6:45:05,0.261,0.266,0.277,0.268,0.268,0.259,0.288,0.262,0.258,0.264,0.284,0.284,0.269,0.276,0.272,0.258,0.289,0.264,0.265,0.27,0.283,0.264,0.27,0.256
7:00:05,0.265,0.269,0.27,0.271,0.264,0.259,0.285,0.262,0.259,0.265,0.294,0.285,0.283,0.278,0.278,0.26,0.287,0.267,0.263,0.266,0.286,0.266,0.274,0.256
7:15:05,0.267,0.272,0.275,0.268,0.265,0.257,0.287,0.26,0.261,0.262,0.285,0.288,0.274,0.282,0.27,0.262,0.283,0.265,0.265,0.265,0.28,0.267,0.271,0.258
7:30:05,0.271,0.269,0.275,0.264,0.258,0.257,0.283,0.258,0.264,0.264,0.292,0.281,0.27,0.279,0.271,0.262,0.281,0.262,0.261,0.265,0.274,0.264,0.273,0.257
7:45:05,0.27,0.268,0.27,0.265,0.256,0.254,0.279,0.26,0.259,0.259,0.281,0.284,0.267,0.277,0.274,0.263,0.282,0.265,0.258,0.262,0.278,0.26,0.269,0.257
8:00:05,0.272,0.268,0.266,0.262,0.258,0.256,0.278,0.26,0.259,0.257,0.277,0.276,0.259,0.273,0.273,0.262,0.283,0.261,0.255,0.259,0.272,0.258,0.262,0.258
8:15:05,0.268,0.267,0.266,0.26,0.258,0.257,0.276,0.259,0.264,0.259,0.271,0.278,0.264,0.267,0.27,0.261,0.281,0.262,0.26,0.26,0.268,0.258,0.265,0.258
8:30:05,0.263,0.266,0.262,0.26,0.254,0.253,0.267,0.263,0.261,0.261,0.278,0.276,0.264,0.271,0.269,0.263,0.279,0.265,0.259,0.26,0.267,0.255,0.262,0.259
8:45:05,0.265,0.263,0.263,0.254,0.254,0.256,0.267,0.263,0.261,0.257,0.274,0.273,0.27,0.271,0.269,0.258,0.276,0.26,0.259,0.259,0.265,0.258,0.27,0.259
9:00:05,0.265,0.265,0.26,0.256,0.255,0.254,0.265,0.262,0.261,0.257,0.273,0.268,0.261,0.276,0.273,0.257,0.273,0.259,0.258,0.259,0.267,0.258,0.266,0.265
9:15:05,0.263,0.26,0.258,0.256,0.251,0.256,0.263,0.261,0.257,0.254,0.264,0.266,0.255,0.274,0.269,0.255,0.272,0.259,0.254,0.257,0.265,0.254,0.266,0.264
9:30:05,0.26,0.258,0.254,0.252,0.252,0.248,0.263,0.259,0.258,0.25,0.262,0.264,0.256,0.261,0.265,0.256,0.271,0.259,0.252,0.257,0.262,0.253,0.258,0.257
9:45:05,0.259,0.253,0.253,0.249,0.246,0.249,0.26,0.258,0.256,0.25,0.259,0.261,0.252,0.265,0.262,0.256,0.268,0.257,0.251,0.254,0.262,0.252,0.256,0.252
10:00:05,0.258,0.253,0.25,0.247,0.244,0.248,0.257,0.257,0.254,0.25,0.257,0.257,0.252,0.259,0.261,0.251,0.266,0.254,0.249,0.256,0.258,0.249,0.253,0.254
10:15:05,0.258,0.252,0.251,0.245,0.244,0.241,0.253,0.255,0.251,0.247,0.262,0.256,0.251,0.256,0.261,0.247,0.26,0.256,0.248,0.251,0.254,0.249,0.253,0.249
10:30:05,0.256,0.25,0.247,0.243,0.243,0.245,0.252,0.254,0.25,0.247,0.252,0.25,0.248,0.253,0.258,0.246,0.259,0.251,0.246,0.248,0.251,0.247,0.251,0.25
10:45:05,0.257,0.248,0.246,0.245,0.241,0.243,0.248,0.253,0.251,0.244,0.251,0.251,0.248,0.253,0.261,0.247,0.258,0.25,0.248,0.245,0.25,0.241,0.249,0.249
