order,strain,plate,well,rep,evo.type,cell.type,mutation
1,anc,1,D3,1,anc,ns,none
2,anc,1,D4,2,anc,ns,none
3,anc,1,D5,3,anc,ns,none
4,anc,1,D6,4,anc,ns,none
5,anc,1,D7,5,anc,ns,none
6,anc,1,D8,6,anc,ns,none
7,anc,1,D9,7,anc,ns,none
8,anc,1,D10,8,anc,ns,none
9,anc,1,E3,9,anc,ns,none
10,anc,1,E4,10,anc,ns,none
11,anc,1,E5,11,anc,ns,none
12,anc,1,E6,12,anc,ns,none
13,anc,1,E7,13,anc,ns,none
14,anc,1,E8,14,anc,ns,none
15,anc,1,E9,15,anc,ns,none
16,anc,1,E10,16,anc,ns,none
17,anc,1,F3,17,anc,ns,none
18,anc,1,F4,18,anc,ns,none
19,anc,1,F5,19,anc,ns,none
20,anc,1,F6,20,anc,ns,none
21,anc,1,F7,21,anc,ns,none
22,anc,1,F8,22,anc,ns,none
23,anc,1,F9,23,anc,ns,none
24,anc,1,F10,24,anc,ns,none
