Curve,b0,b0.se,A,A.se,umax,umax.se,L,L.se,RSME,CV,outlier
M23_1,0.0943,0.01357,0.42,0.01408,0.0817,0.00241,0.5526,0.21486,0.0127,2.787,0
M23_2,0.0901,0.01734,0.4378,0.01789,0.0759,0.00185,0.0521,0.25857,0.0107,2.288,1
M23_3,0.1206,0.00639,0.3374,0.00681,0.0915,0.00444,1.9984,0.14188,0.015,3.738,1
M23_4,0.1215,0.00457,0.349,0.00482,0.1216,0.00453,1.9043,0.0818,0.0108,2.586,2
M23_5,0.1211,0.00823,0.3445,0.00867,0.1054,0.00628,1.6602,0.15186,0.0178,4.287,0
M23_6,0.1394,0.00792,0.3728,0.00855,0.1368,0.00757,1.6382,0.12166,0.0169,3.792,0
M23_7,0.1402,0.00766,0.3347,0.00804,0.0993,0.00501,1.6939,0.14616,0.0163,3.845,0
M23_8,0.1156,0.00513,0.3065,0.00543,0.0999,0.00445,1.9093,0.10617,0.0122,3.254,0
M23_9,0.145,0.00648,0.323,0.00679,0.1111,0.00578,1.8161,0.12255,0.0147,3.487,0
M23_10,0.1147,0.00461,0.35,0.00507,0.1012,0.00357,1.713,0.09136,0.01,2.523,0
M23_11,0.1246,0.00497,0.3347,0.00524,0.1148,0.00477,1.8882,0.09286,0.0117,2.86,1
M23_12,0.1113,0.00509,0.3567,0.00552,0.097,0.00335,1.6384,0.09881,0.0108,2.655,0
M23_13,0.1334,0.00606,0.3506,0.00646,0.1245,0.00601,1.8064,0.10427,0.0139,3.274,0
M23_14,0.1382,0.00728,0.3542,0.0078,0.1181,0.00608,1.6729,0.12482,0.0156,3.642,0
