Curve,b0,b0.se,A,A.se,umax,umax.se,L,L.se,RSME,CV,outlier
M4_1,0.1556,0.0037,0.2764,0.0039,0.0763,0.00232,1.506,0.08856,0.0074,1.888,0
M4_2,0.132,0.0044,0.2527,0.00463,0.1187,0.0069,2.1385,0.09161,0.0116,3.325,2
M4_3,0.14,0.00515,0.2398,0.00544,0.0908,0.00587,2.1244,0.1303,0.0132,3.847,0
M4_4,0.1519,0.00567,0.2442,0.00598,0.107,0.00795,2.0692,0.1253,0.0147,4.072,0
M4_5,0.135,0.00486,0.2362,0.00514,0.1086,0.00778,2.3895,0.12187,0.0132,3.931,1
M4_6,0.1358,0.00561,0.2313,0.00588,0.1251,0.01018,2.3407,0.12222,0.0153,4.556,1
M4_7,0.132,0.00324,0.2374,0.00345,0.0761,0.003,2.2254,0.09395,0.0084,2.544,1
M4_8,0.1448,0.00313,0.2273,0.00332,0.0836,0.00367,2.0187,0.08511,0.0079,2.33,0
M4_9,0.1421,0.00423,0.2154,0.00446,0.0977,0.00632,2.3339,0.11341,0.0114,3.487,2
M4_10,0.1372,0.00342,0.2131,0.00362,0.0943,0.00524,2.4305,0.10013,0.0093,2.914,2
M4_11,0.143,0.0029,0.2385,0.0031,0.0745,0.00267,2.2329,0.08703,0.0075,2.187,0
M4_12,0.1284,0.00282,0.2281,0.003,0.0822,0.00323,2.3356,0.08236,0.0075,2.361,0
M4_13,0.1241,0.00408,0.218,0.00432,0.0997,0.00655,2.3413,0.10772,0.0111,3.595,2
M4_14,0.1454,0.00607,0.2185,0.0064,0.0787,0.00614,2.0117,0.16731,0.0151,4.554,0
