Curve,b0,b0.se,A,A.se,umax,umax.se,L,L.se,RSME,CV,outlier
A_1,0.0105,0.00892,0.3938,0.00733,0.0224,0.00101,-4.8717,0.00045,0.012,3.968,0
A_2,0.1093,0.00971,0.2836,0.01132,0.0252,0.00079,0.8742,0.48506,0.012,3.961,0
A_4,0.1192,0.01136,0.3151,0.01474,0.0239,0.00085,1.3683,0.63736,0.0152,4.849,0
A_5,0.0565,0.03453,0.3119,0.03687,0.0261,0.00132,-1.8166,1.24068,0.0119,4.027,0
A_6,0.1066,0.02135,0.2976,0.02605,0.0195,0.00075,-0.3974,1.23659,0.015,5.041,0
A_7,-5.636,1.81581,6.0643,1.80014,0.1721,0.0707,-51.6946,1.47622,0.0168,5.803,2
A_8,0.1336,0.00474,0.2653,0.00605,0.0266,0.00082,2.8347,0.29307,0.011,3.655,0
A_9,0.1005,0.02017,0.2951,0.02364,0.0212,0.00079,-0.393,1.06386,0.0142,4.772,1
A_10,0.0214,0.0486,0.409,0.05199,0.0261,0.00155,-3.5807,1.58861,0.0113,3.458,0
A_11,0.1313,0.00685,0.2777,0.00853,0.0242,7e-04,1.7566,0.40034,0.0109,3.536,0
A_12,0.112,0.01361,0.1779,0.01415,0.0265,0.00145,0.1555,0.57786,0.0108,4.167,0
