time	rep	total	spore	total_dil	spor_dil
0	A	22	4	6	2
0	B	28	9	6	2
0	C	30	5	6	2
0	D	44	1	6	2
12	A	20	15	6	2
12	B	21	23	6	2
12	C	17	6	6	2
12	D	20	6	6	2
24	A	10	13	6	2
24	B	9	23	6	2
24	C	6	8	6	2
24	D	11	4	6	2
36	A	26	16	5	2
36	B	23	14	5	2
36	C	28	11	5	2
36	D	24	19	5	2
48	A	21	84	5	2
48	B	13	80	5	2
48	C	23	98	5	2
48	D	21	109	5	2
60	A	19	69	5	2
60	B	22	74	5	2
60	C	25	85	5	2
60	D	17	93	5	2
72	A	31	196	5	2
72	B	13	212	5	2
72	C	12	187	5	2
72	D	35	208	5	2
84	A	20	255	5	2
84	B	17	232	5	2
84	C	20	258	5	2
84	D	23	377	5	2
96	A	12	329	5	2
96	B	13	318	5	2
96	C	17	370	5	2
96	D	17	457	5	2
108	A	14	292	5	2
108	B	10	348	5	2
108	C	4	295	5	2
108	D	10	304	5	2
120	A	89	54	4	3
120	B	80	51	4	3
120	C	83	46	4	3
120	D	101	49	4	3
132	A	83	49	4	3
132	B	62	54	4	3
132	C	64	57	4	3
132	D	83	63	4	3
144	A	63	41	4	3
144	B	70	57	4	3
144	C	45	56	4	3
144	D	52	64	4	3
156	A	55	51	4	3
156	B	51	60	4	3
156	C	63	57	4	3
156	D	56	78	4	3
168	A	43	44	4	3
168	B	39	54	4	3
168	C	30	46	4	3
168	D	28	59	4	3
180	A	40	50	4	3
180	B	27	66	4	3
180	C	32	71	4	3
180	D	25	67	4	3
192	A	33	57	4	3
192	B	34	60	4	3
192	C	34	63	4	3
192	D	30	67	4	3
204	A	22	82	4	3
204	B	30	79	4	3
204	C	30	99	4	3
204	D	23	81	4	3
216	A	139	73	3	3
216	B	124	78	3	3
216	C	108	73	3	3
216	D	163	83	3	3
240	A	94	67	3	3
240	B	95	70	3	3
240	C	73	61	3	3
240	D	90	73	3	3
264	A	101	86	3	3
264	B	97	79	3	3
264	C	105	73	3	3
264	D	102	79	3	3
288	A	107	83	3	3
288	B	114	80	3	3
288	C	100	79	3	3
288	D	118	89	3	3
300	A	150	119	3	3
300	B	142	126	3	3
300	C	125	111	3	3
300	D	116	101	3	3
312	A	107	86	3	3
312	B	101	103	3	3
312	C	78	101	3	3
312	D	93	87	3	3
324	A	166	128	3	3
324	B	181	98	3	3
324	C	82	98	3	3
324	D	110	97	3	3
336	A	141	115	3	3
336	B	138	120	3	3
336	C	86	64	3	3
336	D	97	80	3	3
348	A	136	116	3	3
348	B	141	86	3	3
348	C	74	53	3	3
348	D	125	89	3	3
360	A	138	104	3	3
360	B	110	95	3	3
360	C	102	84	3	3
360	D	91	75	3	3
372	A	143	125	3	3
372	B	141	127	3	3
372	C	100	70	3	3
372	D	99	102	3	3
384	A	158	131	3	3
384	B	174	120	3	3
384	C	92	80	3	3
384	D	76	91	3	3
396	A	156	109	3	3
396	B	136	136	3	3
396	C	84	75	3	3
396	D	97	97	3	3
408	A	174	105	3	3
408	B	139	131	3	3
408	C	91	69	3	3
408	D	76	66	3	3
420	A	143	99	3	3
420	B	177	100	3	3
420	C	82	101	3	3
420	D	88	65	3	3
432	A	179	111	3	3
432	B	200	114	3	3
432	C	56	40	3	3
432	D	110	101	3	3
456	A	231	125	3	3
456	B	185	107	3	3
456	C	84	64	3	3
456	D	77	105	3	3
480	A	231	125	3	3
480	B	185	107	3	3
480	C	84	64	3	3
480	D	77	105	3	3
504	A	200	148	3	3
504	B	206	145	3	3
504	C	122	87	3	3
504	D	80	91	3	3
528	A	211	87	3	3
528	B	186	98	3	3
528	C	91	67	3	3
528	D	114	79	3	3
552	A	152	98	3	3
552	B	142	108	3	3
552	C	88	79	3	3
552	D	88	85	3	3
600	A	162	109	3	3
600	B	173	99	3	3
600	C	103	77	3	3
600	D	117	84	3	3
624	A	195	126	3	3
624	B	183	102	3	3
624	C	101	67	3	3
624	D	85	112	3	3
648	A	186	126	3	3
648	B	195	124	3	3
648	C	82	94	3	3
648	D	90	100	3	3
672	A	219	143	3	3
672	B	159	89	3	3
672	C	90	83	3	3
672	D	111	72	3	3
696	A	152	103	3	3
696	B	160	132	3	3
696	C	102	73	3	3
696	D	105	96	3	3
744	A	193	127	3	3
744	B	161	125	3	3
744	C	80	66	3	3
744	D	105	83	3	3
792	A	150	128	3	3
782	B	165	125	3	3
792	C	94	55	3	3
792	D	105	93	3	3
840	A	182	142	3	3
840	B	157	130	3	3
840	C	73	48	3	3
840	D	106	90	3	3
888	A	191	148	3	3
888	B	134	160	3	3
888	C	68	74	3	3
888	D	82	87	3	3
936	A	161	148	3	3
936	B	192	136	3	3
936	C	57	73	3	3
936	D	93	110	3	3
984	A	161	126	3	3
984	B	134	112	3	3
984	C	86	101	3	3
984	D	121	107	3	3
1032	A	182	128	3	3
1032	B	138	158	3	3
1032	C	71	96	3	3
1032	D	171	114	3	3
1080	A	183	156	3	3
1080	B	136	125	3	3
1080	C	93	71	3	3
1080	D	104	91	3	3
1128	A	180	130	3	3
1128	B	165	156	3	3
1128	C	94	77	3	3
1128	D	100	94	3	3
1176	A	173	169	3	3
1176	B	175	138	3	3
1176	C	92	102	3	3
1176	D	104	79	3	3
1224	A	163	92	3	3
1224	B	134	106	3	3
1224	C	84	65	3	3
1224	D	88	85	3	3
1272	A	184	121	3	3
1272	B	154	115	3	3
1272	C	83	79	3	3
1272	D	121	106	3	3
1320	A	152	120	3	3
1320	B	127	158	3	3
1320	C	105	74	3	3
1320	D	124	98	3	3
1368	A	145	165	3	3
1368	B	167	125	3	3
1368	C	72	86	3	3
1368	D	116	82	3	3
1416	A	170	160	3	3
1416	B	157	151	3	3
1416	C	88	85	3	3
1416	D	110	90	3	3
1464	A	175	133	3	3
1464	B	195	143	3	3
1464	C	92	61	3	3
1464	D	137	99	3	3
1512	A	156	108	3	3
1512	B	160	136	3	3
1512	C	96	77	3	3
1512	D	127	104	3	3
1560	A	153	115	3	3
1560	B	166	109	3	3
1560	C	104	69	3	3
1560	D	112	98	3	3
1608	A	171	118	3	3
1608	B	181	112	3	3
1608	C	102	85	3	3
1608	D	111	95	3	3
1656	A	151	135	3	3
1656	B	159	126	3	3
1656	C	94	64	3	3
1656	D	91	93	3	3
1704	A	168	138	3	3
1704	B	166	126	3	3
1704	C	77	80	3	3
1704	D	119	95	3	3
1752	A	155	130	3	3
1752	B	138	95	3	3
1752	C	90	96	3	3
1752	D	97	82	3	3
1800	A	150	124	3	3
1800	B	154	137	3	3
1800	C	85	69	3	3
1800	D	90	95	3	3
1848	A	172	139	3	3
1848	B	133	119	3	3
1848	C	80	80	3	3
1848	D	114	116	3	3
1896	A	145	115	3	3
1896	B	147	112	3	3
1896	C	96	61	3	3
1896	D	119	94	3	3
1944	A	173	137	3	3
1944	B	140	131	3	3
1944	C	102	73	3	3
1944	D	116	89	3	3
1992	A	177	90	3	3
1992	B	160	108	3	3
1992	C	100	82	3	3
1992	D	120	82	3	3
2040	A	154	116	3	3
2040	B	150	108	3	3
2040	C	82	69	3	3
2040	D	86	86	3	3
2088	A	192	154	3	3
2088	B	212	155	3	3
2088	C	95	110	3	3
2088	D	116	140	3	3
2136	A	152	104	3	3
2136	B	143	115	3	3
2136	C	59	90	3	3
2136	D	107	85	3	3
2184	A	154	174	3	3
2184	B	165	165	3	3
2184	C	129	89	3	3
2814	D	111	82	3	3
2232	A	120	123	3	3
2232	B	157	143	3	3
2232	C	75	71	3	3
2232	D	101	89	3	3
2280	A	142	164	3	3
2280	B	123	158	3	3
2280	C	82	78	3	3
2280	D	97	75	3	3
2328	A	116	131	3	3
2328	B	168	118	3	3
2328	C	86	67	3	3
2328	D	108	108	3	3
2376	A	135	153	3	3
2376	B	165	119	3	3
2376	C	79	92	3	3
2376	D	94	98	3	3
2424	A	170	130	3	3
2424	B	189	166	3	3
2424	C	105	69	3	3
2424	D	105	106	3	3
2472	A	171	148	3	3
2472	B	137	116	3	3
2472	C	90	77	3	3
2472	D	91	85	3	3
2520	A	161	153	3	3
2520	B	172	111	3	3
2520	C	82	104	3	3
2520	D	100	102	3	3
2568	A	146	105	3	3
2568	B	158	114	3	3
2568	C	95	66	3	3
2568	D	97	97	3	3
2616	A	147	133	3	3
2616	B	141	118	3	3
2616	C	77	77	3	3
2616	D	107	105	3	3
2664	A	167	129	3	3
2664	B	134	134	3	3
2664	C	73	69	3	3
2664	D	114	96	3	3
2712	A	160	111	3	3
2712	B	130	134	3	3
2712	C	87	86	3	3
2712	D	87	84	3	3
2760	A	151	137	3	3
2760	B	138	149	3	3
2760	C	81	84	3	3
2760	D	93	70	3	3
2808	A	153	88	3	3
2808	B	145	105	3	3
2808	C	73	54	3	3
2808	D	84	83	3	3
2856	A	180	119	3	3
2856	B	124	119	3	3
2856	C	93	83	3	3
2856	D	89	89	3	3
2904	A	162	106	3	3
2904	B	137	123	3	3
2904	C	85	71	3	3
2904	D	109	99	3	3
2952	A	118	124	3	3
2952	B	148	106	3	3
2952	C	86	68	3	3
2952	D	81	72	3	3
3000	A	145	118	3	3
3000	B	182	138	3	3
3000	C	103	54	3	3
3000	D	93	82	3	3
3048	A	165	132	3	3
3048	B	167	116	3	3
3048	C	79	54	3	3
3048	D	103	75	3	3
3096	A	165	116	3	3
3096	B	150	112	3	3
3096	C	72	63	3	3
3096	D	111	76	3	3
3144	A	153	112	3	3
3144	B	164	114	3	3
3144	C	118	73	3	3
3144	D	119	84	3	3
3192	A	166	108	3	3
3192	B	199	107	3	3
3192	C	106	72	3	3
3192	D	91	89	3	3
3240	A	146	110	3	3
3240	B	173	143	3	3
3240	C	86	66	3	3
3240	D	84	76	3	3
3288	A	140	118	3	3
3288	B	172	108	3	3
3288	C	90	61	3	3
3288	D	112	96	3	3
3336	A	160	95	3	3
3336	B	151	93	3	3
3336	C	78	55	3	3
3336	D	89	72	3	3
3384	A	124	98	3	3
3384	B	142	76	3	3
3384	C	69	48	3	3
3384	D	81	55	3	3
3432	A	127	125	3	3
3432	B	139	101	3	3
3432	C	98	78	3	3
3432	D	96	101	3	3
3480	A	126	151	3	3
3480	B	136	120	3	3
3480	C	107	85	3	3
3480	D	92	92	3	3
3528	A	163	132	3	3
3528	B	161	109	3	3
3528	C	100	59	3	3
3528	D	102	99	3	3
3576	A	157	112	3	3
3576	B	146	110	3	3
3576	C	91	71	3	3
3576	D	86	88	3	3
3624	A	168	107	3	3
3624	B	180	143	3	3
3624	C	89	91	3	3
3624	D	72	84	3	3
3672	A	167	136	3	3
3672	B	126	110	3	3
3672	C	98	66	3	3
3672	D	92	67	3	3
3720	A	215	164	3	3
3720	B	217	137	3	3
3720	C	120	103	3	3
3720	D	169	116	3	3
3768	A	168	120	3	3
3768	B	187	126	3	3
3768	C	103	85	3	3
3768	D	111	83	3	3
3816	A	153	123	3	3
3816	B	167	145	3	3
3816	C	106	90	3	3
3816	D	96	108	3	3
3864	A	155	106	3	3
3864	B	142	102	3	3
3864	C	70	67	3	3
3864	D	96	90	3	3
3912	A	139	135	3	3
3912	B	182	113	3	3
3912	C	108	68	3	3
3912	D	99	105	3	3
3960	A	145	99	3	3
3960	B	160	108	3	3
3960	C	85	93	3	3
3960	D	108	89	3	3
4008	A	179	140	3	3
4008	B	152	123	3	3
4008	C	89	80	3	3
4008	D	108	96	3	3
4056	A	163	104	3	3
4056	B	118	91	3	3
4056	C	111	66	3	3
4056	D	82	95	3	3
4104	A	164	117	3	3
4104	B	154	118	3	3
4104	C	106	76	3	3
4104	D	92	94	3	3
4152	A	145	110	3	3
4152	B	168	149	3	3
4152	C	117	82	3	3
4152	D	137	102	3	3
4200	A	156	98	3	3
4200	B	139	100	3	3
4200	C	92	83	3	3
4200	D	99	86	3	3
4248	A	137	94	3	3
4248	B	182	130	3	3
4248	C	70	65	3	3
4248	D	100	87	3	3
4296	A	123	83	3	3
4296	B	144	158	3	3
4296	C	86	75	3	3
4296	D	97	98	3	3
4344	A	151	133	3	3
4344	B	169	132	3	3
