Replicate	Treatment	Bin	Count
Observed	STS-S	0.02	2
Observed	STS-S	0.06	0
Observed	STS-S	0.1	0
Observed	STS-S	0.14	0
Observed	STS-S	0.18	0
Observed	STS-S	0.22	0
Observed	STS-S	0.26	0
Observed	STS-S	0.3	0
Observed	STS-S	0.34	0
Observed	STS-S	0.38	0
Observed	STS-S	0.42	0
Observed	STS-S	0.46	0
Observed	STS-S	0.5	0
Observed	LTS-S	0.02	4
Observed	LTS-S	0.06	0
Observed	LTS-S	0.1	0
Observed	LTS-S	0.14	0
Observed	LTS-S	0.18	0
Observed	LTS-S	0.22	0
Observed	LTS-S	0.26	0
Observed	LTS-S	0.3	0
Observed	LTS-S	0.34	0
Observed	LTS-S	0.38	0
Observed	LTS-S	0.42	0
Observed	LTS-S	0.46	0
Observed	LTS-S	0.5	0
Observed	LTS-M2	0.02	18
Observed	LTS-M2	0.06	5
Observed	LTS-M2	0.1	1
Observed	LTS-M2	0.14	0
Observed	LTS-M2	0.18	0
Observed	LTS-M2	0.22	0
Observed	LTS-M2	0.26	0
Observed	LTS-M2	0.3	0
Observed	LTS-M2	0.34	0
Observed	LTS-M2	0.38	0
Observed	LTS-M2	0.42	0
Observed	LTS-M2	0.46	0
Observed	LTS-M2	0.5	0
