Replicate	Treatment	Bin	Count
Observed	S[10]	0.02	2
Observed	S[10]	0.06	0
Observed	S[10]	0.1	0
Observed	S[10]	0.14	0
Observed	S[10]	0.18	0
Observed	S[10]	0.22	0
Observed	S[10]	0.26	0
Observed	S[10]	0.3	0
Observed	S[10]	0.34	0
Observed	S[10]	0.38	0
Observed	S[10]	0.42	0
Observed	S[10]	0.46	0
Observed	S[10]	0.5	0
Observed	S[1000]	0.02	4
Observed	S[1000]	0.06	0
Observed	S[1000]	0.1	0
Observed	S[1000]	0.14	0
Observed	S[1000]	0.18	0
Observed	S[1000]	0.22	0
Observed	S[1000]	0.26	0
Observed	S[1000]	0.3	0
Observed	S[1000]	0.34	0
Observed	S[1000]	0.38	0
Observed	S[1000]	0.42	0
Observed	S[1000]	0.46	0
Observed	S[1000]	0.5	0
Observed	S+NS[1000]	0.02	18
Observed	S+NS[1000]	0.06	5
Observed	S+NS[1000]	0.1	1
Observed	S+NS[1000]	0.14	0
Observed	S+NS[1000]	0.18	0
Observed	S+NS[1000]	0.22	0
Observed	S+NS[1000]	0.26	0
Observed	S+NS[1000]	0.3	0
Observed	S+NS[1000]	0.34	0
Observed	S+NS[1000]	0.38	0
Observed	S+NS[1000]	0.42	0
Observed	S+NS[1000]	0.46	0
Observed	S+NS[1000]	0.5	0
