Line	Type	Observed	Expected
1	STSS	1	1
2	STSS	1	0
3	STSS	0	0
4	STSS	0	0
5	STSS	0	0
6	STSS	0	0
7	STSS	0	0
8	STSS	0	0
9	STSS	0	0
10	STSS	0	0
11	STSS	0	0
12	STSS	0	0
13	STSS	0	0
14	STSS	0	0
15	STSS	0	0
16	STSS	0	0
17	STSS	0	0
18	STSS	0	0
19	STSS	0	0
20	STSS	0	0
21	STSS	0	0
22	STSS	0	0
23	STSS	0	0
24	STSS	0	0
25	STSS	0	0
26	STSS	0	0
27	STSS	0	0
28	STSS	0	0
29	STSS	0	0
30	STSS	0	0
31	STSS	0	0
32	STSS	0	0
33	STSS	0	0
34	STSS	0	0
35	STSS	0	0
36	STSS	0	0
37	STSS	0	0
38	STSS	0	0
39	STSS	0	0
40	STSS	0	0
41	STSS	0	0
42	STSS	0	0
43	STSS	0	0
44	STSS	0	0
45	STSS	0	0
46	STSS	0	0
47	STSS	0	0
48	STSS	0	0
49	STSS	0	0
50	STSS	0	0
51	STSS	0	0
52	STSS	0	0
53	STSS	0	0
54	STSS	0	0
55	STSS	0	0
56	STSS	0	0
57	STSS	0	0
58	STSS	0	0
59	STSS	0	0
60	STSS	0	0
61	STSS	0	0
62	STSS	0	0
63	STSS	0	0
64	STSS	0	0
65	STSS	0	0
