plate1	Replicate	M4	M13	M17	M19	M21	M23	M26	M41	M54	M79	Ancestor	Blank1
plate1	A	0.567	0.153	0.077	0.094	0.144	0.451	0.081	0.124	0.108	1.244	0.171	0.062
plate1	B	1.503	0.186	0.1	0.08	0.165	0.465	0.081	0.113	0.089	1.079	0.187	0.061
plate1	C	0.935	0.213	0.106	0.199	0.136	0.446	0.114	0.113	0.085	1.35	0.152	0.063
plate1	D	1.643	0.241	0.097	0.079	0.128	0.27	0.078	0.142	0.088	1.265	0.176	0.066
plate1	E	0.561	0.201	0.094	0.075	0.164	0.274	0.07	0.092	0.082	1.127	0.158	0.062
plate1	F	0.89	0.194	0.087	0.142	0.094	0.328	0.081	0.101	0.083	1.226	0.176	0.071
plate1	G	0.381	0.153	0.083	0.081	0.105	0.313	0.077	0.08	0.084	1.944	0.132	0.262
plate1	H	1.039	0.18	0.066	0.076	0.153	0.142	0.072	0.152	0.079	1.708	0.134	0.179
plate2	Replicate	S1	Blank1	S6	Blank2	S11	Blank3	S22	Blank4	S51	Blank5	S95	Blank6
plate2	A	0.242	0.079	0.525	0.08	0.439	0.077	0.296	0.071	0.329	0.07	0.376	0.074
plate2	B	0.38	0.075	0.396	0.072	0.325	0.074	0.229	0.075	0.405	0.064	0.317	0.076
plate2	C	0.3	0.074	0.381	0.07	0.233	0.059	0.215	0.07	0.278	0.079	0.268	0.079
plate2	D	0.353	0.072	0.402	0.072	0.26	0.073	0.291	0.08	0.4	0.083	0.234	0.08
plate2	E	0.282	0.074	0.326	0.079	0.354	0.077	0.273	0.065	0.376	0.081	0.325	0.079
plate2	F	0.237	0.076	0.383	0.081	0.411	0.08	0.376	0.087	0.358	0.08	0.422	0.078
plate2	G	0.336	0.072	0.38	0.078	0.395	0.079	0.078	0.305	0.312	0.078	0.314	0.075
plate2	H	0.344	0.073	0.358	0.077	0.421	0.077	0.308	0.079	0.339	0.078	0.343	0.079
