Time	M4	M41	M13	M17	M19	M21	M23	M26	M54	M79	S1	S6	S11	S22	S51	S95
0.25	0.088	0.096	0.0924	0.089666667	0.088166667	0.088666667	0.088166667	0.087333333	0.088833333	0.091333333	0.090666667	0.089	0.094333333	0.0915	0.09	0.093166667
0.5	0.087833333	0.096166667	0.092	0.089333333	0.088333333	0.088833333	0.088166667	0.087333333	0.089	0.091666667	0.091	0.0892	0.095	0.092	0.090166667	0.093333333
0.75	0.088	0.096	0.0916	0.089333333	0.088166667	0.088666667	0.088333333	0.087333333	0.089	0.092333333	0.091	0.0892	0.095333333	0.092166667	0.090333333	0.093666667
1	0.088333333	0.096	0.0916	0.089166667	0.088166667	0.088833333	0.088333333	0.087666667	0.089	0.092666667	0.091	0.0894	0.095666667	0.092333333	0.0905	0.093666667
1.25	0.088333333	0.096333333	0.0918	0.089166667	0.088333333	0.089	0.088666667	0.087833333	0.088833333	0.092666667	0.091833333	0.0894	0.096	0.0925	0.091	0.093666667
1.5	0.088833333	0.096166667	0.0922	0.0895	0.088	0.0895	0.089	0.088333333	0.088833333	0.093	0.092	0.0896	0.096333333	0.093	0.091	0.094
1.75	0.0895	0.096833333	0.0924	0.089333333	0.088333333	0.089	0.09	0.089	0.089166667	0.093666667	0.092833333	0.0908	0.097	0.093666667	0.091666667	0.094666667
2	0.090333333	0.098666667	0.0928	0.089833333	0.0885	0.09	0.091333333	0.0905	0.09	0.095	0.094333333	0.0924	0.097833333	0.094333333	0.0925	0.095833333
2.25	0.0925	0.102	0.0932	0.089666667	0.0885	0.090666667	0.092666667	0.091833333	0.090166667	0.095833333	0.096	0.0944	0.099166667	0.095833333	0.093666667	0.0965
2.5	0.095166667	0.107	0.095	0.090833333	0.0895	0.092333333	0.095333333	0.0945	0.091	0.0985	0.099166667	0.0986	0.1015	0.097	0.096166667	0.098833333
2.75	0.099333333	0.113166667	0.0968	0.091666667	0.090666667	0.094	0.0985	0.0985	0.093	0.102333333	0.103	0.1044	0.104666667	0.099	0.098833333	0.1015
