Curve	Sample	CellType	Run	b0	A	umax	L	z	K	lag	umax.lw	umax.up	umax.lw.FI	umax.up.FI
A1	M4	Vegetative	A	0.09	0.2329	0.0677	3.8033	-4.8769	0.3229	-0.042	0.0619	0.0743	0.0617	0.0738
A2	M13	Vegetative	A	0.0892	0.2665	0.0654	4.8254	-4.658	0.3556	0.8915	0.0589	0.0732	0.0585	0.0723
A3	M17	Vegetative	A	0.0886	0.3082	0.0701	5.409	-5.1276	0.3968	1.7427	0.066	0.0747	0.0658	0.0744
A4	M19	Vegetative	A	0.0902	0.3187	0.0731	5.797	-4.538	0.4089	2.2119	0.0657	0.0825	0.065	0.0812
A5	M21	Vegetative	A	0.0896	0.3001	0.0689	5.3053	-5.3076	0.3897	1.5394	0.0654	0.0727	0.0654	0.0725
A6	M23	Spore	A	0.0899	0.2031	0.0624	3.7964	-5.0912	0.293	-0.3494	0.0574	0.0681	0.0572	0.0677
A7	M26	Spore	A	0.0904	0.1864	0.0643	4.1513	-5.1003	0.2767	0.1002	0.0585	0.0709	0.0583	0.0703
A8	M41	Vegetative	A	0.0893	0.6546	0.0667	3.6745	-4.6759	0.7438	-0.1924	0.0643	0.0694	0.0643	0.0692
B1	S11	Spore	A	0.092	0.1916	0.0674	3.742	-4.9268	0.2836	-0.1991	0.0607	0.0752	0.0604	0.0744
B2	S22	Spore	A	0.0939	0.2504	0.0776	3.813	-5.1602	0.3444	0.2933	0.0728	0.0829	0.0727	0.0825
B3	S51	Spore	A	0.0885	0.2349	0.0635	3.8284	-5.0472	0.3234	-0.1872	0.0587	0.069	0.0585	0.0686
B4	S95	Spore	A	0.0882	0.2665	0.073	3.8441	-4.9411	0.3547	0.3305	0.0678	0.0789	0.0676	0.0784
B5	M54	Vegetative	A	0.0916	0.4392	0.0781	5.2995	-4.7885	0.5309	1.8802	0.0738	0.0832	0.0735	0.0827
B6	M79	Vegetative	A	0.0915	0.2896	0.0746	3.6548	-5.356	0.3811	0.0889	0.0713	0.0781	0.0713	0.0779
B7	S1	Spore	A	0.0933	0.2855	0.0764	3.3329	-4.9548	0.3788	-0.2134	0.0715	0.0819	0.0714	0.0815
B8	S6	Spore	A	0.0936	0.2909	0.0736	3.3626	-5.1636	0.3845	-0.3216	0.0698	0.0778	0.0697	0.0775
C1	M17	Vegetative	A	0.0893	0.3216	0.0772	5.434	-4.948	0.4109	2.0601	0.072	0.0832	0.0718	0.0827
C2	M19	Vegetative	A	0.0927	0.397	0.0732	4.9878	-4.6546	0.4897	1.3181	0.068	0.0796	0.0676	0.0789
C3	M4	Vegetative	A	0.0912	0.31	0.0761	3.5972	-4.9663	0.4012	0.1098	0.0716	0.0812	0.0715	0.0808
C4	M13	Vegetative	A	0.092	0.3223	0.0623	4.1665	-5.0751	0.4143	-0.0757	0.0589	0.0661	0.0588	0.0658
C5	M26	Spore	A	0.0898	0.2591	0.0675	3.8186	-4.8135	0.3489	-0.0289	0.0617	0.074	0.0615	0.0734
C6	M41	Vegetative	A	0.0933	0.4764	0.0733	5.1719	-4.7434	0.5698	1.4798	0.0695	0.0779	0.0692	0.0774
C7	M21	Vegetative	A	0.0966	0.4407	0.0755	4.5167	-4.6988	0.5373	0.8068	0.0709	0.0808	0.0707	0.0803
C8	M23	Spore	A	0.0937	0.1765	0.0656	3.7537	-5.0034	0.2702	-0.3597	0.059	0.0734	0.0586	0.0726
D1	S1	Spore	A	0.0901	0.1824	0.0672	3.7572	-4.9337	0.2725	-0.1171	0.0602	0.0755	0.0598	0.0746
D2	S6	Spore	A	0.0929	0.2731	0.0704	3.5193	-4.9142	0.366	-0.3002	0.0654	0.0759	0.0652	0.0755
D3	M54	Vegetative	A	0.0941	0.5175	0.075	5.0464	-4.6091	0.6116	1.4073	0.071	0.0798	0.0708	0.0792
D4	M79	Vegetative	A	0.0912	0.2863	0.0704	3.424	-5.3253	0.3774	-0.3266	0.0672	0.0738	0.0672	0.0736
D5	S51	Spore	A	0.0911	0.2517	0.0708	3.554	-5.064	0.3428	-0.1758	0.066	0.0761	0.0659	0.0757
D6	S95	Spore	A	0.0951	0.2553	0.0729	3.6796	-5.0407	0.3504	-0.0955	0.0679	0.0785	0.0678	0.0781
D7	S11	Spore	A	0.0941	0.2339	0.073	3.3806	-5.0379	0.328	-0.3528	0.0677	0.079	0.0675	0.0785
D8	S22	Spore	A	0.092	0.1719	0.0639	3.8539	-5.0243	0.264	-0.2938	0.0573	0.0715	0.057	0.0707
E1	M21	Vegetative	A	0.0892	0.3165	0.0778	5.3621	-4.9766	0.4057	2.0159	0.0726	0.0837	0.0724	0.0832
E2	M23	Spore	A	0.093	0.2512	0.0727	3.4207	-4.9274	0.3443	-0.2876	0.0672	0.0789	0.0671	0.0784
E3	M26	Spore	A	0.0949	0.2756	0.0711	3.6577	-4.9394	0.3705	-0.2038	0.0661	0.0766	0.0659	0.0762
E4	M41	Vegetative	A	0.0918	0.4964	0.0694	4.8835	-4.8082	0.5882	1.0559	0.0663	0.0731	0.0661	0.0727
E5	M4	Vegetative	A	0.0925	0.2971	0.0734	3.3729	-5.1534	0.3896	-0.2831	0.0696	0.0775	0.0695	0.0773
E7	M17	Vegetative	A	0.0976	0.319	0.0712	4.0334	-5.4119	0.4166	0.0805	0.0685	0.0742	0.0684	0.074
E8	M19	Vegetative	A	0.0908	0.2788	0.067	5.4326	-5.2294	0.3695	1.5209	0.0631	0.0714	0.0629	0.0711
F1	M54	Vegetative	A	0.0906	0.3701	0.08	5.8065	-4.801	0.4606	2.4997	0.0746	0.0864	0.0743	0.0858
F2	M79	Vegetative	A	0.094	0.2792	0.076	3.6724	-5.4127	0.3731	0.0821	0.0727	0.0795	0.0727	0.0793
F3	S1	Spore	A	0.094	0.2387	0.072	3.4967	-5.1878	0.3328	-0.2812	0.0675	0.077	0.0674	0.0766
F4	S6	Spore	A	0.0909	0.2344	0.0695	3.6565	-5.1523	0.3253	-0.1289	0.0649	0.0745	0.0648	0.0742
F5	S11	Spore	A	0.0954	0.22	0.0734	3.6242	-5.1327	0.3154	-0.1373	0.0682	0.0793	0.068	0.0789
F6	S22	Spore	A	0.092	0.1689	0.0657	3.8318	-4.8913	0.2609	-0.2034	0.058	0.075	0.0575	0.0739
F7	S51	Spore	A	0.0918	0.1768	0.0621	3.8922	-5.0044	0.2685	-0.3575	0.0557	0.0695	0.0554	0.0687
