"time"	"s.est"	"s.lower"	"s.upper"	"v.est"	"v.lower"	"v.upper"
0	3745.87942235701	3045.26679148069	4521.70764921927	153.767719617151	0.0148906981101928	796.8780117142
1	3329.10871060816	2653.78664138751	4059.01411620829	149.727065109948	0.0129003289530773	782.593266434553
2	3919.59916004036	3184.79761592588	4673.46318288133	194.536081395534	0.0222313777567068	985.37303182981
4	4937.03987315059	4181.69772989366	5718.03617870616	198.922253950545	0.0235791681816962	975.685811638435
6	4621.12795034013	3818.18655242847	5411.57907097609	201.924281673827	0.0209615068701832	983.082881841941
8	4501.45140050483	3806.72905057668	5366.53781938195	119.328590906496	0.00662123908045623	638.594890107174
10	6825.40058395622	5935.91486683169	7706.64636674485	206.351035369557	0.0172750907273515	1042.13782468817
12	4708.2507609777	3820.40373896886	5441.88188683024	283.537782005264	0.0363740851968015	1269.68913072625
14	4821.83403909403	3858.93827671736	5588.50765757752	367.273873049253	0.0349346323960056	1486.43760788342
16	3989.92878907993	3111.58680891686	4754.66733820542	376.849283812397	0.0690484259264562	1408.47922721717
18	4947.60121556823	4177.33445729025	5781.67985826986	164.495006368733	0.013761286721744	880.339812894613
20	4137.35073796537	3103.92487818427	4941.93192356378	493.804283384781	0.106009669473711	1751.42115267434
22	5840.41011470478	4676.79245758418	6840.10853722824	754.419696825026	0.596229796046718	2172.5187932584
24	5251.84960447694	4090.36146058942	6175.40698767214	657.755684432474	0.283648761746632	2091.24729304059
26	5199.20336342144	4033.48664231824	6206.24164014679	792.479024822452	0.424776981745452	2301.36443418654
28	5423.79218746215	4555.79351349215	6152.66944029317	259.09234176181	0.0283645160236223	1145.94970359628
30	4563.70276465058	3719.04050281948	5283.86722827161	246.929671580497	0.0227608686408569	1182.5794588518
32	5480.05558796935	4320.73675321527	6340.24005661253	561.32466079108	0.0834534001486847	1975.01750224884
34	5727.77989860425	4506.79213180242	7040.50815790002	2287.02590673474	441.303699502155	3878.29323435897
36	6139.15232461189	4844.98130159202	7410.33306619362	1328.39975174042	4.42601207267211	2941.53305237524
38	5637.65123673214	4371.14257934147	6633.58994252406	751.933990939495	0.398601062186492	2278.90419446133
40	5175.33996675739	3981.57506503588	6333.60680054475	1023.87282307683	1.35685473271061	2567.68125184127
42	5349.32651901424	4374.12907546749	6098.28753676708	365.320185192209	0.0198417698312696	1531.38215562291
44	5006.60259362644	4021.7684904786	5822.15172248272	410.961006384595	0.0763245579185511	1606.62554586844
46	5075.62590928134	4118.6168860034	5847.07399071142	351.731071905727	0.0595790122325306	1468.5864602012
48	3867.76652705568	3181.74978125768	4733.42461251488	115.194249562113	0.00997528585105164	711.55446539525
50	4343.41551523275	3387.40926616941	5084.57689707354	347.262079493173	0.0713297140209635	1504.90017830813
52	4629.14167937629	3446.97195748533	5690.56566319211	836.913461382211	0.352553084464163	2356.66957827635
54	5392.82405799331	4444.33605891615	6131.33163231338	248.433544866018	0.0112576694705554	1217.63644194981
56	4433.25191049576	3674.46267040239	5238.31368442777	163.032640893035	0.00956531184336315	821.036552704232
58	4622.90455371394	3737.90611103886	5383.60324424282	264.444862061678	0.0248654037669852	1244.10359033275
60	4524.65575500171	3738.83010551854	5338.04630642249	162.634691673246	0.0203495703196095	874.46899180002
62	4383.7077647135	3256.39404546973	5564.43545821213	1079.71527807687	1.24529844892424	2533.07234704083
64	4498.86619977229	3783.36474178797	5387.74197394344	122.560282834825	0.00449479268367272	665.182921477304
66	5517.7583422825	4705.08024316887	6366.15123558278	176.530634627249	0.0207388440158043	971.395263585404
68	4850.490902594	3769.39341991247	5657.6197332254	439.91543455332	0.0478169081581118	1741.76379150581
70	4714.10401108491	3827.72429392684	5478.12844038091	235.271514005859	0.0252757255283137	1141.80386487784
71.8333333333333	4754.19418162721	3938.81524491877	5500.64165105551	218.664766607015	0.0241854176475342	1014.43252178629
74	4950.27224738885	3873.92576623099	5873.05087167701	655.867826735582	0.240234887205419	1980.82547859089
76	5564.62340824084	4250.14033075669	6904.80205123342	1414.5658010961	17.2886895297487	3032.85627150137
78	5139.82829297989	4128.89866803168	5889.46315197742	384.994392907543	0.0261083777178274	1575.7181040044
80	5646.27538196594	4390.24741107201	6683.5406092641	827.565743626588	0.376667753474109	2411.20302382351
82	6330.21303472777	5227.24443090746	7130.20634349618	406.751733038645	0.0773541836642959	1728.00356549277
84	5591.29751296032	4433.48386955929	6444.36375063618	571.510448434069	0.0865443221110955	1960.2621230127
86	5095.16580336964	4284.08906345748	6070.69255278373	141.688659023594	0.00611215928775164	753.090457049365
88	5131.84431724306	3889.72148328727	6472.05960929421	1347.25688458255	3.34210899840953	2947.50595636589
90	4831.12468584081	3778.41912820343	5707.5431816485	603.512519203472	0.156561673287099	1964.68433153329
92	5619.5017682219	4690.61101322777	6381.52046881638	285.571696076665	0.037717785090748	1228.4951267287
94	4620.38449810895	3465.13950785108	5722.90245843671	964.025277428864	0.625654448005393	2474.24240666057
96	4967.03014321407	4045.51851527491	5712.58662092211	299.877663861611	0.058396380858421	1318.32809120156
98	5214.39329545662	4062.70793950275	6052.79519749606	528.872465300283	0.14905262100477	1892.48193079148
100	4949.86500922544	4006.10716959603	5695.02541397668	304.177719647816	0.0229289047827121	1336.30947177918
102	5248.7911490213	4384.80308210563	6007.82438908685	268.494726655886	0.0276568317041392	1231.68794529608
104	5464.3701429318	4208.37509664924	6854.15000820146	2043.52769935205	150.297094174495	3628.913994173
106	6049.93853847689	4653.9834893849	7366.86572036335	1303.12437885457	4.46008248561331	3020.84926943031
108	6057.98603223456	4842.50442940598	6967.69321174652	604.762641357417	0.184309144080208	2056.47281104837
110	6653.70552419343	5505.46565231302	7505.17921254553	457.458355610456	0.050456539966167	1783.75302684032
112	6196.48284485299	5372.83108143297	7292.57649353502	127.810901838073	0.0109628430216244	722.381294960002
114	5424.44911662528	4426.6333957781	6201.2111452877	286.701161373632	0.0581455183284639	1299.41659333957
116	5343.62840261865	4307.07526044152	6115.76354091191	371.411691894765	0.0485863739260944	1587.03888001535
118	4839.03960713297	3980.50507558594	5611.61873366455	221.394381789603	0.0228574704354463	1059.17026001381
120	5809.36692129494	4718.2609120374	6639.36920384837	532.968995438547	0.156068458647319	1853.33667613262
122	5883.08310061535	4584.55314368937	6986.3205785059	901.515695415102	0.273761054387219	2469.698712849
124	5403.34025767546	4593.30166346361	6299.46338878776	169.881409891752	0.011024595295289	871.990500034573
126	5165.96363309755	4424.93407993776	6146.68174468359	120.283341724679	0.0219510352491033	674.236904532083
128	5527.60503007432	4785.71167872994	6434.03701990127	127.509030961898	0.00483633062984472	669.310674330475
130	4398.52952637265	3383.4686979791	5198.01346522368	462.010702844658	0.152764507754198	1683.18693720008
132	4156.66755764628	3279.1066765598	4911.34870165583	283.176646896055	0.023172958849682	1233.02070997845
134	5456.56442348588	4401.07138425553	6266.61308696189	428.664409153834	0.0455470834957812	1683.94189447907
136	4030.86544720295	2904.99930130356	5249.62377652385	1142.48338478029	1.97811552202732	2660.43018297303
138	5044.99460834214	3798.44772429119	6341.44735543671	1538.15535027746	23.7725622897528	3101.72027659571
140	5252.153571315	4042.58861692001	6181.77404988907	653.662503481329	0.335209916786539	2104.58558682331
142	4934.65254826029	3724.06053512702	6037.71536936105	931.85951584982	1.4027148798962	2456.34005723501
144	3654.80586497012	2948.50805300796	4377.6279232635	183.073811452106	0.0242537617499798	881.628218445251
177	5181.24668425736	4377.54611188135	6068.84514623368	160.913289014569	0.0307454766456512	818.811489584191
179	4658.03044810739	3478.9416869519	5697.44692408763	825.874589054805	0.317870910442479	2349.27164856385
181	5127.93828437047	3923.70930977696	6431.87602423746	1885.51041157799	153.971714339295	3376.26207224334
183	5522.21195237452	4397.9710249172	6351.96189935972	468.142440140018	0.0238937750278326	1799.76427395044
185	4673.79581613363	3612.49967159243	5528.31838332409	572.129727254963	0.142602648452307	1931.70514125276
187	4979.36590275023	4210.72082662006	5753.97787094719	180.885894787984	0.0236394069263524	903.977031809407
189	4207.73017973408	3356.69850083554	4933.11773744271	279.615217910927	0.0345840435212749	1295.35064766296
191	4468.88992937572	3580.18767511083	5205.64323110624	255.216489298731	0.0262998006190889	1227.84912162755
193	4541.87355899119	3400.93726872321	5602.52444946319	837.583632646037	0.377295362274983	2307.63866200733
195	3756.94750053068	2925.57544628374	4886.16985604003	88.5423285169763	0.00925273847028049	506.217623083213
197	4124.41132165536	2982.54130586948	5370.0445822602	1559.36086270912	24.2951378801294	3073.20584050566
199	4780.00991036217	3881.9707556328	5516.76719739716	302.281799057866	0.0431561845748364	1297.00946270966
201	4515.58003782919	3700.39551810187	5244.21811767783	217.631763365643	0.0309410907048297	1080.56955929189
203	4139.026476287	3309.72024434963	4850.89758272199	253.718218958468	0.0400915700707011	1169.84990558202
205	4456.76712744723	3273.76348985032	5499.0742166295	837.163084985102	0.548192905349915	2392.47658147121
207	5116.64007860938	4047.51796310534	6014.69018505435	588.7620321547	0.115173003340139	1866.44733952761
209	6091.30700373891	4861.81539276802	7262.6844392016	1090.70880683883	1.74764431019038	2631.06646585053
211	3918.80260803497	3200.70824995022	4649.54731991348	178.341319042959	0.0287006978664851	887.823137393718
213	3677.67266586099	2952.91785632966	4426.98740800298	183.799598381473	0.0197838481547699	942.338627047602
215	4176.95274784852	3213.29889974029	4941.68023630387	401.755607968836	0.120004460869294	1573.36837894427
217	4263.81947866112	3319.87907414681	4996.45611470389	344.515181885568	0.059999257776121	1446.91617715135
219	6147.39548608481	5065.06283503866	6928.45460989667	368.620882971827	0.0784098067904338	1628.79512974983
221	4200.65032912153	3279.08519304199	4918.08609754386	313.501144153923	0.0470556087100193	1357.29933172548
223	4097.12622441485	3201.73838317633	4820.62002627755	290.231363337976	0.0361146977222231	1379.14279471565
225	5009.85989700743	3993.11111965245	5799.13371670426	402.5125053509	0.0684330028183124	1632.61286962411
227	4167.6112662532	3009.31476592252	5468.05317911059	1847.31252335025	95.0778251218119	3419.12355344068
229	5359.82600239211	4324.27456056884	6184.28754900183	485.293238001978	0.146571064697408	1759.31769381122
231	4725.80049636064	3563.5995774076	6097.73971006903	1852.31034791606	87.0854000069362	3337.97267794766
233	3849.99714396453	2772.4720114316	5039.29466019502	2465.26499490853	874.995959346139	3849.46104162131
235	4867.30583264033	3879.56245871749	5697.99156655132	479.978488074119	0.144294300604779	1666.24988534109
237	5250.42376822741	4150.83716558819	6129.85018534018	562.802086936514	0.146498352649937	1891.42530804163
