time	rep	total	spore	total_dil	spor_dil
0	A	49	35	5	5
0	B	38	41	5	5
0	C	35	33	5	5
0	D	37	38	5	5
24	A	30	41	5	5
24	B	50	49	5	5
24	C	22	30	5	5
24	D	33	30	5	5
48	A	41	33	5	5
48	B	42	40	5	5
48	C	46	47	5	5
48	D	40	38	5	5
96	A	36	25	5	5
96	B	35	47	5	5
96	C	41	32	5	5
96	D	50	54	5	5
144	A	63	50	5	5
144	B	62	63	5	5
144	C	61	48	5	5
144	D	47	49	5	5
192	A	69	57	5	5
192	B	52	53	5	5
192	C	42	60	5	5
192	D	43	54	5	5
240	A	38	41	5	5
240	B	63	51	5	5
240	C	43	53	5	5
240	D	69	79	5	5
288	A	54	47	5	5
288	B	46	43	5	5
288	C	40	41	5	5
288	D	50	46	5	5
336	A	38	46	5	5
336	B	54	46	5	5
336	C	38	53	5	5
336	D	53	45	5	5
384	A	49	29	5	5
384	B	56	49	5	5
384	C	44	29	5	5
384	D	45	32	5	5
432	A	49	47	5	5
432	B	48	51	5	5
432	C	53	50	5	5
432	D	49	57	5	5
480	A	36	28	5	5
480	B	50	46	5	5
480	C	45	35	5	5
480	D	48	33	5	5
528	A	52	48	5	5
528	B	57	34	5	5
528	C	50	60	5	5
528	D	68	57	5	5
576	A	52	50	5	5
576	B	64	51	5	5
576	C	41	64	5	5
576	D	61	49	5	5
624	A	52	56	5	5
624	B	58	60	5	5
624	C	48	42	5	5
624	D	62	48	5	5
672	A	59	54	5	5
672	B	70	46	5	5
672	C	65	58	5	5
672	D	57	57	5	5
720	A	45	53	5	5
720	B	57	48	5	5
720	C	57	53	5	5
720	D	48	45	5	5
768	A	54	42	5	5
768	B	62	49	5	5
768	C	45	55	5	5
768	D	62	53	5	5
816	A	46	45	5	5
816	B	54	49	5	5
816	C	60	44	5	5
816	D	82	56	5	5
864	A	76	49	5	5
864	B	94	66	5	5
864	C	71	76	5	5
864	D	77	61	5	5
912	A	50	47	5	5
912	B	58	46	5	5
912	C	53	51	5	5
912	D	66	54	5	5
960	A	51	39	5	5
960	B	56	41	5	5
960	C	53	38	5	5
960	D	64	48	5	5
1008	A	45	45	5	5
1008	B	43	45	5	5
1008	C	51	52	5	5
1008	D	58	54	5	5
1056	A	44	43	5	5
1056	B	42	41	5	5
1056	C	48	33	5	5
1056	D	55	49	5	5
1104	A	30	46	5	5
1104	B	41	47	5	5
1104	C	41	33	5	5
1104	D	55	50	5	5
1152	A	53	52	5	5
1152	B	64	66	5	5
1152	C	42	57	5	5
1152	D	36	46	5	5
1200	A	49	46	5	5
1200	B	40	43	5	5
1200	C	39	33	5	5
1200	D	48	38	5	5
1248	A	41	42	5	5
1248	B	50	43	5	5
1248	C	35	29	5	5
1248	D	57	39	5	5
1296	A	48	40	5	5
1296	B	61	60	5	5
1296	C	49	47	5	5
1296	D	56	58	5	5
1344	A	40	43	5	5
1344	B	42	46	5	5
1344	C	51	43	5	5
1344	D	44	49	5	5
1392	A	38	39	5	5
1392	B	60	49	5	5
1392	C	44	48	5	5
1392	D	49	45	5	5
1440	A	45	28	5	5
1440	B	43	46	5	5
1440	C	52	36	5	5
1440	D	45	50	5	5
1488	A	42	44	5	5
1488	B	45	43	5	5
1488	C	38	35	5	5
1488	D	57	35	5	5
1536	A	47	51	5	5
1536	B	42	47	5	5
1536	C	48	60	5	5
1536	D	43	54	5	5
1584	A	39	35	5	5
1584	B	55	35	5	5
1584	C	46	41	5	5
1584	D	55	64	5	5
1632	A	50	40	5	5
1632	B	76	46	5	5
1632	C	52	53	5	5
1632	D	54	46	5	5
1680	A	59	42	5	5
1680	B	53	51	5	5
1680	C	48	46	5	5
1680	D	49	49	5	5
1724	A	46	48	5	5
1724	B	61	37	5	5
1724	C	54	50	5	5
1724	D	49	50	5	5
1776	A	40	43	5	5
1776	B	47	60	5	5
1776	C	53	34	5	5
1776	D	58	45	5	5
1824	A	66	67	5	5
1824	B	68	62	5	5
1824	C	41	43	5	5
1824	D	72	53	5	5
1872	A	59	36	5	5
1872	B	48	42	5	5
1872	C	53	34	5	5
1872	D	56	51	5	5
1920	A	71	61	5	5
1920	B	59	43	5	5
1920	C	60	56	5	5
1920	D	67	54	5	5
1968	A	50	45	5	5
1968	B	38	47	5	5
1968	C	53	50	5	5
1968	D	68	67	5	5
2016	A	48	35	5	5
2016	B	43	48	5	5
2016	C	57	59	5	5
2016	D	63	55	5	5
2064	A	50	30	5	5
2064	B	64	46	5	5
2064	C	58	51	5	5
2064	D	49	63	5	5
2112	A	43	37	5	5
2112	B	49	50	5	5
2112	C	36	31	5	5
2112	D	67	47	5	5
2160	A	47	47	5	5
2160	B	36	53	5	5
2160	C	54	44	5	5
2160	D	56	44	5	5
2208	A	56	58	5	5
2208	B	56	44	5	5
2208	C	54	37	5	5
2208	D	59	60	5	5
2256	A	38	40	5	5
2256	B	50	49	5	5
2256	C	46	37	5	5
2256	D	58	39	5	5
2304	A	43	40	5	5
2304	B	53	54	5	5
2304	C	42	37	5	5
2304	D	53	50	5	5
2352	A	52	44	5	5
2352	B	47	46	5	5
2352	C	57	50	5	5
2352	D	59	50	5	5
2400	A	48	55	5	5
2400	B	59	57	5	5
2400	C	62	56	5	5
2400	D	53	49	5	5
2448	A	51	46	5	5
2448	B	46	41	5	5
2448	C	63	56	5	5
2448	D	55	55	5	5
2496	A	75	66	5	5
2496	B	66	65	5	5
2496	C	88	73	5	5
2496	D	77	53	5	5
2544	A	78	57	5	5
2544	B	75	62	5	5
2544	C	66	46	5	5
2544	D	76	60	5	5
2592	A	61	77	5	5
2592	B	83	84	5	5
2592	C	84	63	5	5
2592	D	68	62	5	5
2640	A	49	66	5	5
2640	B	62	77	5	5
2640	C	70	80	5	5
2640	D	72	71	5	5
2688	A	61	59	5	5
2688	B	82	86	5	5
2688	C	68	91	5	5
2688	D	59	80	5	5
2736	A	51	72	5	5
2736	B	67	51	5	5
2736	C	62	57	5	5
2736	D	57	58	5	5
