"days"	"hours"	"rep"	"total"	"spore"	"total_dil"	"spor_dil"	"tot.ab"	"veg.ab"	"spo.ab"	"prop.veg"	"prop.spor"
"1"	0	0	"A"	49	35	4	4	4900000	1400000	3500000	0.285714285714286	0.714285714285714
"2"	0	0	"B"	38	41	4	4	3800000	-3e+05	4100000	-0.0789473684210527	1.07894736842105
"3"	0	0	"C"	35	33	4	4	3500000	2e+05	3300000	0.0571428571428572	0.942857142857143
"4"	0	0	"D"	37	38	4	4	3700000	-1e+05	3800000	-0.027027027027027	1.02702702702703
"5"	1	24	"A"	30	41	4	4	3e+06	-1100000	4100000	-0.366666666666667	1.36666666666667
"6"	1	24	"B"	50	49	4	4	5e+06	1e+05	4900000	0.02	0.98
"7"	1	24	"C"	22	30	4	4	2200000	-8e+05	3e+06	-0.363636363636364	1.36363636363636
"8"	1	24	"D"	33	30	4	4	3300000	3e+05	3e+06	0.0909090909090909	0.909090909090909
"9"	2	48	"A"	41	33	4	4	4100000	8e+05	3300000	0.195121951219512	0.804878048780488
"10"	2	48	"B"	42	40	4	4	4200000	2e+05	4e+06	0.0476190476190477	0.952380952380952
"11"	2	48	"C"	46	47	4	4	4600000	-1e+05	4700000	-0.0217391304347827	1.02173913043478
"12"	2	48	"D"	40	38	4	4	4e+06	2e+05	3800000	0.05	0.95
"13"	4	96	"A"	36	25	4	4	3600000	1100000	2500000	0.305555555555556	0.694444444444444
"14"	4	96	"B"	35	47	4	4	3500000	-1200000	4700000	-0.342857142857143	1.34285714285714
"15"	4	96	"C"	41	32	4	4	4100000	9e+05	3200000	0.219512195121951	0.780487804878049
"16"	4	96	"D"	50	54	4	4	5e+06	-4e+05	5400000	-0.0800000000000001	1.08
"17"	6	144	"A"	63	50	4	4	6300000	1300000	5e+06	0.206349206349206	0.793650793650794
"18"	6	144	"B"	62	63	4	4	6200000	-1e+05	6300000	-0.0161290322580645	1.01612903225806
"19"	6	144	"C"	61	48	4	4	6100000	1300000	4800000	0.213114754098361	0.786885245901639
"20"	6	144	"D"	47	49	4	4	4700000	-2e+05	4900000	-0.0425531914893618	1.04255319148936
"21"	8	192	"A"	69	57	4	4	6900000	1200000	5700000	0.173913043478261	0.826086956521739
"22"	8	192	"B"	52	53	4	4	5200000	-1e+05	5300000	-0.0192307692307692	1.01923076923077
"23"	8	192	"C"	42	60	4	4	4200000	-1800000	6e+06	-0.428571428571429	1.42857142857143
"24"	8	192	"D"	43	54	4	4	4300000	-1100000	5400000	-0.255813953488372	1.25581395348837
"25"	10	240	"A"	38	41	4	4	3800000	-3e+05	4100000	-0.0789473684210527	1.07894736842105
"26"	10	240	"B"	63	51	4	4	6300000	1200000	5100000	0.19047619047619	0.80952380952381
"27"	10	240	"C"	43	53	4	4	4300000	-1e+06	5300000	-0.232558139534884	1.23255813953488
"28"	10	240	"D"	69	79	4	4	6900000	-1e+06	7900000	-0.144927536231884	1.14492753623188
"29"	12	288	"A"	54	47	4	4	5400000	7e+05	4700000	0.12962962962963	0.87037037037037
"30"	12	288	"B"	46	43	4	4	4600000	3e+05	4300000	0.0652173913043478	0.934782608695652
"31"	12	288	"C"	40	41	4	4	4e+06	-1e+05	4100000	-0.0249999999999999	1.025
"32"	12	288	"D"	50	46	4	4	5e+06	4e+05	4600000	0.08	0.92
"33"	14	336	"A"	38	46	4	4	3800000	-8e+05	4600000	-0.210526315789474	1.21052631578947
"34"	14	336	"B"	54	46	4	4	5400000	8e+05	4600000	0.148148148148148	0.851851851851852
"35"	14	336	"C"	38	53	4	4	3800000	-1500000	5300000	-0.394736842105263	1.39473684210526
"36"	14	336	"D"	53	45	4	4	5300000	8e+05	4500000	0.150943396226415	0.849056603773585
"37"	16	384	"A"	49	29	4	4	4900000	2e+06	2900000	0.408163265306122	0.591836734693878
"38"	16	384	"B"	56	49	4	4	5600000	7e+05	4900000	0.125	0.875
"39"	16	384	"C"	44	29	4	4	4400000	1500000	2900000	0.340909090909091	0.659090909090909
