date	rep	total	spore	total_dil	spor_dil
2018-07-11	A	49	35	4	4
2018-07-11	B	38	41	4	4
2018-07-11	C	35	33	4	4
2018-07-11	D	37	38	4	4
2018-07-12	A	30	41	4	4
2018-07-12	B	50	49	4	4
2018-07-12	C	22	30	4	4
2018-07-12	D	33	30	4	4
2018-07-13	A	41	33	4	4
2018-07-13	B	42	40	4	4
2018-07-13	C	46	47	4	4
2018-07-13	D	40	38	4	4
2018-07-15	A	36	25	4	4
2018-07-15	B	35	47	4	4
2018-07-15	C	41	32	4	4
2018-07-15	D	50	54	4	4
2018-07-17	A	63	50	4	4
2018-07-17	B	62	63	4	4
2018-07-17	C	61	48	4	4
2018-07-17	D	47	49	4	4
2018-07-19	A	69	57	4	4
2018-07-19	B	52	53	4	4
2018-07-19	C	42	60	4	4
2018-07-19	D	43	54	4	4
2018-07-21	A	38	41	4	4
2018-07-21	B	63	51	4	4
2018-07-21	C	43	53	4	4
2018-07-21	D	69	79	4	4
2018-07-23	A	54	47	4	4
2018-07-23	B	46	43	4	4
2018-07-23	C	40	41	4	4
2018-07-23	D	50	46	4	4
2018-07-25	A	38	46	4	4
2018-07-25	B	54	46	4	4
2018-07-25	C	38	53	4	4
2018-07-25	D	53	45	4	4
2018-07-27	A	49	29	4	4
2018-07-27	B	56	49	4	4
2018-07-27	C	44	29	4	4
2018-07-27	D	45	32	4	4
2018-07-29	A	49	47	4	4
2018-07-29	B	48	51	4	4
2018-07-29	C	53	50	4	4
2018-07-29	D	49	57	4	4
2018-07-31	A	36	28	4	4
2018-07-31	B	50	46	4	4
2018-07-31	C	45	35	4	4
2018-07-31	D	48	33	4	4
2018-08-02	A	52	48	4	4
2018-08-02	B	57	34	4	4
2018-08-02	C	50	60	4	4
2018-08-02	D	68	57	4	4
2018-08-04	A	52	50	4	4
2018-08-04	B	64	51	4	4
2018-08-04	C	41	64	4	4
2018-08-04	D	61	49	4	4
2018-08-06	A	52	56	4	4
2018-08-06	B	58	60	4	4
2018-08-06	C	48	42	4	4
2018-08-06	D	62	48	4	4
2018-08-08	A	59	54	4	4
2018-08-08	B	70	46	4	4
2018-08-08	C	65	58	4	4
2018-08-08	D	57	57	4	4
2018-08-10	A	45	53	4	4
2018-08-10	B	57	48	4	4
2018-08-10	C	57	53	4	4
2018-08-10	D	48	45	4	4
2018-08-12	A	54	42	4	4
2018-08-12	B	62	49	4	4
2018-08-12	C	45	55	4	4
2018-08-12	D	62	53	4	4
2018-08-14	A	46	45	4	4
2018-08-14	B	54	49	4	4
2018-08-14	C	60	44	4	4
2018-08-14	D	82	56	4	4
2018-08-16	A	50	47	4	4
2018-08-16	B	58	46	4	4
2018-08-16	C	53	51	4	4
2018-08-16	D	66	54	4	4
2018-08-18	A	50	47	4	4
2018-08-18	B	58	46	4	4
2018-08-18	C	53	51	4	4
2018-08-18	D	66	54	4	4
2018-08-20	A	51	39	4	4
2018-08-20	B	56	41	4	4
2018-08-20	C	53	38	4	4
2018-08-20	D	64	48	4	4
2018-08-22	A	45	45	4	4
2018-08-22	B	43	45	4	4
2018-08-22	C	51	52	4	4
2018-08-22	D	58	54	4	4
2018-08-24	A	44	43	4	4
2018-08-24	B	42	41	4	4
2018-08-24	C	48	33	4	4
2018-08-24	D	55	49	4	4
2018-08-26	A	30	46	4	4
2018-08-26	B	41	47	4	4
2018-08-26	C	41	33	4	4
2018-08-26	D	55	50	4	4
2018-08-28	A	53	52	4	4
2018-08-28	B	64	66	4	4
2018-08-28	C	42	57	4	4
2018-08-28	D	36	46	4	4
2018-08-30	A	49	46	4	4
2018-08-30	B	40	43	4	4
2018-08-30	C	39	33	4	4
2018-08-30	D	48	38	4	4
2018-09-01	A	41	42	4	4
2018-09-01	B	50	43	4	4
2018-09-01	C	35	29	4	4
2018-09-01	D	57	39	4	4
2018-09-03	A	48	40	4	4
2018-09-03	B	61	60	4	4
2018-09-03	C	49	47	4	4
2018-09-03	D	56	58	4	4
2018-09-05	A	40	43	4	4
2018-09-05	B	42	46	4	4
2018-09-05	C	51	43	4	4
2018-09-05	D	44	49	4	4
