"time"	"s.est"	"s.lower"	"s.upper"	"v.est"	"v.lower"	"v.upper"
0	12.4708833812471	1.45595790468573	36.5868296730791	21987.5398845119	21962.8386227731	22001.0475075462
0.5	12.5505868925083	1.53415816322289	36.8265588641294	19987.4885374154	19962.698042552	20000.988911185
1	11.0572683118468	1.52458829247334	28.2301941515435	9988.97140136894	9970.05184700367	10001.2650475849
1.5	13.0744658530103	1.52767266164362	32.2940580986709	2586.9344694956	2567.20393877841	2600.99925544543
2	15.9994043510033	2.38951515679079	35.2952870430449	2083.96510954317	2063.85271189263	2099.58249403376
2.5	15.4841561131804	2.29575184808912	35.0615307574156	1884.48826061072	1863.57136506684	1899.80174308103
3	22.0589331576959	3.97598491979253	41.3037124950003	3077.9214490761	3057.57983060418	3097.59948626444
3.5	25.4080315327813	5.12630102469909	46.4048052854847	1974.55049513904	1952.65556505336	1995.7788500126
4	28.1676516862236	8.66702824050189	51.4743921055126	1171.80799924939	1147.61397939396	1192.53155785292
4.5	26.4938642022305	6.47839028552866	49.989154924045	1373.54948893888	1348.78874760062	1394.98443211488
5	47.7199238385629	23.6450496550764	78.9242695360936	842.272385209611	810.575873573874	867.564770125921
5.5	46.8213815326609	20.355578141117	79.1365491286122	783.141641404332	750.755122483032	810.748188943741
6	39.5424250063948	12.5722252008533	65.639648180539	590.445789129642	564.02320160458	618.646541533753
6.5	45.3188375894153	19.8911422250311	69.7330188168117	504.682966265265	478.95312398012	531.328290136144
7	40.7516693887591	16.5154901827627	64.0062091372174	389.196430662247	364.939963275462	414.299721590687
7.5	43.0943417667891	14.1165444915785	67.5066026361859	356.898275418353	331.940593180008	386.271819601873
8	48.7356684203825	26.5769215003098	74.1434795908127	281.24604072922	254.557841477893	303.914852082571
8.5	71.9441778229045	48.914954135678	97.4998526039375	147.992340423513	121.554378491779	171.91896061844
9	60.5665244289517	31.4988663749682	90.0480431089879	78.3417118340054	47.5273205211761	107.76821509261
10	75.6639555315311	59.1503422253143	89.4824564626163	18.8129041304315	5.09091939459354	35.9588663486371
11	83.4213302070522	68.455446868684	97.1486594285423	18.2647124257892	5.30872182471061	33.325173308215
12	85.4102569104333	69.4101922001879	100.375448383199	21.9267002020907	7.22748568125321	38.6038694068878
12.5	115.397757822737	94.3947530667546	134.781694861215	34.4762113661304	14.428854368451	56.1970048998905
13	85.1686643446503	68.8628447827994	101.367276151787	22.256008782016	6.5532022303769	38.6248984594069
13.5	126.612083910229	106.441927961729	147.645910464749	39.1018065314195	17.6040373993525	60.2518110308368
14	111.534147232979	94.0379793888665	130.438912075139	29.4919995054482	10.6440723750014	47.7554418775548
14.5	111.22810243576	93.3780538883715	128.926827953771	24.9500905183286	7.30002031858296	43.364382232821
15	104.511325573663	86.4633092864451	123.020233589667	33.4008903350815	14.3382282384766	52.3547230130651
15.5	115.361950440953	97.5607862579701	133.817222426378	27.8289726106514	9.39988186815077	45.9756061276383
16	127.043808968795	106.435171122403	144.384458039472	30.8699814689432	13.1654807172981	52.1005476371309
16.5	109.457450384078	87.6986157936558	130.746349686915	46.1844650901418	24.0063058415455	68.3923993688316
17	110.628897346728	89.854830894605	132.291602961479	62.8224648545733	40.05663904979	84.4002610447275
