"time.h"	"time.d"	"rep"	"total"	"spore"	"total_dil"	"spor_dil"	"tot.ab"	"veg.ab"	"spo.ab"	"prop.veg"	"prop.spor"
"1"	0	0	"A"	22	4	6	2	2.2e+08	219996000	4000	0.999981818181818	1.81818181818061e-05
"2"	0	0	"B"	28	9	6	2	2.8e+08	279991000	9000	0.999967857142857	3.2142857142814e-05
"3"	0	0	"C"	30	5	6	2	3e+08	299995000	5000	0.999983333333333	1.66666666666648e-05
"4"	0	0	"D"	44	1	6	2	4.4e+08	439999000	1000	0.999997727272727	2.27272727271188e-06
"5"	12	0.5	"A"	20	15	6	2	2e+08	199985000	15000	0.999925	7.50000000000473e-05
"6"	12	0.5	"B"	21	23	6	2	2.1e+08	209977000	23000	0.999890476190476	0.000109523809523782
"7"	12	0.5	"C"	17	6	6	2	1.7e+08	169994000	6000	0.999964705882353	3.52941176470223e-05
"8"	12	0.5	"D"	20	6	6	2	2e+08	199994000	6000	0.99997	2.99999999999745e-05
"9"	24	1	"A"	10	13	6	2	1e+08	99987000	13000	0.99987	0.000129999999999963
"10"	24	1	"B"	9	23	6	2	9e+07	89977000	23000	0.999744444444444	0.000255555555555564
"11"	24	1	"C"	6	8	6	2	6e+07	59992000	8000	0.999866666666667	0.000133333333333319
"12"	24	1	"D"	11	4	6	2	1.1e+08	109996000	4000	0.999963636363636	3.63636363636122e-05
"13"	36	1.5	"A"	26	16	5	2	2.6e+07	25984000	16000	0.999384615384615	0.000615384615384573
"14"	36	1.5	"B"	23	14	5	2	2.3e+07	22986000	14000	0.999391304347826	0.000608695652173918
"15"	36	1.5	"C"	28	11	5	2	2.8e+07	27989000	11000	0.999607142857143	0.000392857142857195
"16"	36	1.5	"D"	24	19	5	2	2.4e+07	23981000	19000	0.999208333333333	0.000791666666666635
"17"	48	2	"A"	21	84	5	2	2.1e+07	20916000	84000	0.996	0.004
"18"	48	2	"B"	13	80	5	2	1.3e+07	12920000	80000	0.993846153846154	0.00615384615384618
"19"	48	2	"C"	23	98	5	2	2.3e+07	22902000	98000	0.995739130434783	0.00426086956521743
"20"	48	2	"D"	21	109	5	2	2.1e+07	20891000	109000	0.994809523809524	0.00519047619047619
"21"	60	2.5	"A"	19	69	5	2	1.9e+07	18931000	69000	0.996368421052632	0.00363157894736843
"22"	60	2.5	"B"	22	74	5	2	2.2e+07	21926000	74000	0.996636363636364	0.00336363636363635
"23"	60	2.5	"C"	25	85	5	2	2.5e+07	24915000	85000	0.9966	0.00339999999999996
"24"	60	2.5	"D"	17	93	5	2	1.7e+07	16907000	93000	0.994529411764706	0.00547058823529412
"25"	72	3	"A"	31	196	5	2	3.1e+07	30804000	196000	0.993677419354839	0.00632258064516134
"26"	72	3	"B"	13	212	5	2	1.3e+07	12788000	212000	0.983692307692308	0.0163076923076924
"27"	72	3	"C"	12	187	5	2	1.2e+07	11813000	187000	0.984416666666667	0.0155833333333333
"28"	72	3	"D"	35	208	5	2	3.5e+07	34792000	208000	0.994057142857143	0.00594285714285714
"29"	84	3.5	"A"	20	255	5	2	2e+07	19745000	255000	0.98725	0.01275
"30"	84	3.5	"B"	17	232	5	2	1.7e+07	16768000	232000	0.986352941176471	0.0136470588235295
"31"	84	3.5	"C"	20	258	5	2	2e+07	19742000	258000	0.9871	0.0129
"32"	84	3.5	"D"	23	377	5	2	2.3e+07	22623000	377000	0.983608695652174	0.0163913043478261
"33"	96	4	"A"	12	329	5	2	1.2e+07	11671000	329000	0.972583333333333	0.0274166666666666
"34"	96	4	"B"	13	318	5	2	1.3e+07	12682000	318000	0.975538461538462	0.0244615384615384
"35"	96	4	"C"	17	370	5	2	1.7e+07	16630000	370000	0.978235294117647	0.0217647058823529
